Wavelength,405_Ex,405_Dichroic,405_Em,488_Ex,488_Dichroic,488_Em,561_Ex,561_Dichroic,561_Em,640_Ex,640_Dichroic,640_Em,Quad_Ex,Quad_Dichroic,Quad_Em
238,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
239,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
240,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
241,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
242,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
243,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
244,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
245,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
246,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
247,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
248,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
249,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
250,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
251,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
252,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
253,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
254,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
255,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
256,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
257,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
258,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
259,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
260,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
261,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
262,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
263,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
264,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
265,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
266,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
267,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
268,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
269,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
270,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
271,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
272,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
273,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
274,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
275,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
276,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
277,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
278,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.50E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
279,1.00E-07,1.00E-07,1.00E-07,1.00E-07,9.38E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
280,1.00E-07,1.00E-07,1.00E-07,1.00E-07,6.70E-06,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
281,1.00E-07,1.00E-07,1.00E-07,1.00E-07,3.83E-05,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
282,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.00014787,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
283,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.000357889,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
284,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.000641146,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
285,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.001095605,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
286,1.00E-07,2.04E-07,1.00E-07,1.00E-07,0.002200371,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
287,1.00E-07,4.71E-07,1.00E-07,1.00E-07,0.004356953,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
288,1.00E-07,1.04E-06,1.00E-07,1.00E-07,0.008833272,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
289,1.00E-07,5.08E-06,1.00E-07,1.00E-07,0.01353983,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
290,1.00E-07,1.31E-05,1.00E-07,1.00E-07,0.024927117,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
291,1.00E-07,4.00E-05,1.00E-07,1.00E-07,0.039811904,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
292,1.00E-07,0.0001768,1.00E-07,1.00E-07,0.069289831,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
293,1.00E-07,0.000635758,1.00E-07,1.00E-07,0.090272764,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
294,1.00E-07,0.001584911,1.00E-07,1.00E-07,0.089009286,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
295,1.00E-07,0.001992742,1.00E-07,1.00E-07,0.108599654,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
296,1.00E-07,0.001917782,1.00E-07,1.00E-07,0.083196098,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
297,1.00E-07,0.002211596,1.00E-07,1.00E-07,0.099763677,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
298,1.00E-07,0.00423621,1.00E-07,1.00E-07,0.093871569,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
299,1.00E-07,0.006065959,1.00E-07,1.00E-07,0.106054694,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,NaN,NaN,NaN
300,1.00E-07,0.009155192,1.00E-07,1.00E-07,0.153877462,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.00000191,NaN,0.00000169
301,1.00E-07,0.018336224,1.00E-07,1.00E-07,0.094661597,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,8.19E-07,NaN,4.88E-07
302,1.00E-07,0.00859093,1.00E-07,1.00E-07,0.037170809,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-2.71E-07,NaN,4.96E-07
303,1.00E-07,0.0091533,1.00E-07,1.00E-07,0.064262877,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-5.72E-08,NaN,2.88E-07
304,1.00E-07,0.025939957,1.00E-07,1.00E-07,0.001917512,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-0.00000285,NaN,7.01E-07
305,1.00E-07,0.019072012,1.00E-07,1.00E-07,0.000314988,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.00000106,NaN,8.03E-07
306,1.00E-07,0.094617966,1.00E-07,1.00E-07,0.000255441,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.00000126,NaN,0.00000108
307,1.00E-07,0.114752229,1.00E-07,1.00E-07,0.001637169,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-8.86E-07,NaN,0.00000135
308,1.00E-07,0.063600911,1.00E-07,1.00E-07,0.000158581,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-1.69E-07,NaN,7.75E-07
309,1.00E-07,0.017592675,1.00E-07,1.00E-07,4.74E-05,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-0.00000105,NaN,4.43E-07
310,1.00E-07,0.043190362,1.00E-07,1.00E-07,4.32E-05,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-0.00000145,NaN,8.42E-07
311,1.00E-07,0.071164678,1.00E-07,1.00E-07,9.01E-05,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-0.00000144,NaN,0.00000106
312,1.00E-07,0.041651497,1.00E-07,1.00E-07,0.000496791,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,5.35E-07,NaN,0.00000105
313,1.00E-07,0.10880198,1.00E-07,1.00E-07,0.01909628,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-3.38E-08,NaN,9.83E-07
314,1.00E-07,0.231284021,1.00E-07,1.00E-07,0.059832165,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-1.92E-07,NaN,5.60E-07
315,1.00E-07,0.227661629,1.00E-07,1.00E-07,0.09394985,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,9.18E-07,NaN,2.27E-07
316,1.00E-07,0.358879435,1.00E-07,1.00E-07,0.087830744,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.02E-08,NaN,5.67E-07
317,1.00E-07,0.135256366,1.00E-07,1.00E-07,0.378178062,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,8.44E-08,NaN,8.53E-07
318,1.00E-07,0.055832677,1.00E-07,1.00E-07,0.23400972,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,3.52E-07,NaN,0.00000102
319,1.00E-07,0.072716258,1.00E-07,1.00E-07,0.472453035,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.94E-07,NaN,3.47E-07
320,1.00E-07,0.141174434,1.00E-07,1.00E-07,0.339738528,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-2.23E-07,NaN,6.09E-07
321,1.00E-07,0.153870763,1.00E-07,1.00E-07,0.265662391,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,4.02E-07,1.00E-07,-7.49E-07,NaN,0.00000162
322,1.00E-07,0.129738408,1.00E-07,1.00E-07,0.368589324,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.74E-06,1.00E-07,-0.00000135,NaN,0.00000141
323,1.00E-07,0.04202196,1.00E-07,1.00E-07,0.367011811,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.06E-05,1.00E-07,4.55E-07,NaN,9.68E-07
324,1.00E-07,0.070681051,1.00E-07,1.00E-07,0.294720276,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,9.32E-05,1.00E-07,-8.90E-08,NaN,8.36E-07
325,1.00E-07,0.002572116,1.00E-07,1.00E-07,0.407897793,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.003335372,1.00E-07,3.85E-07,NaN,8.56E-07
326,1.00E-07,0.000933981,1.00E-07,1.00E-07,0.445109429,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.038221818,1.00E-07,-1.78E-07,NaN,0.0000015
327,1.00E-07,0.001167141,1.00E-07,1.00E-07,0.407850149,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.038838843,1.00E-07,4.79E-07,NaN,0.00000166
328,1.00E-07,0.004089513,1.00E-07,1.00E-07,0.188346293,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.018135467,1.00E-07,-2.86E-07,NaN,5.66E-07
329,1.00E-07,0.000749744,1.00E-07,1.00E-07,0.283665419,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.037629971,1.00E-07,4.69E-07,NaN,0.0000011
330,1.00E-07,0.000421787,1.00E-07,1.00E-07,0.345319538,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.081417572,1.00E-07,-8.31E-07,NaN,0.00000121
331,1.00E-07,0.000904232,1.00E-07,1.00E-07,0.142238425,1.00E-07,1.00E-07,1.19E-07,1.00E-07,1.00E-07,0.060454233,1.00E-07,1.45E-07,NaN,0.00000143
332,1.00E-07,0.005214319,1.00E-07,1.00E-07,0.149294286,1.00E-07,1.00E-07,4.07E-07,1.00E-07,1.00E-07,0.185657847,1.00E-07,7.69E-07,NaN,8.86E-07
333,1.00E-07,0.000934965,1.00E-07,1.00E-07,0.35700235,1.00E-07,1.00E-07,1.77E-06,1.00E-07,1.00E-07,0.099734693,1.00E-07,3.64E-07,NaN,8.90E-07
334,1.00E-07,0.001041645,1.00E-07,1.00E-07,0.15758727,1.00E-07,1.00E-07,1.82E-05,1.00E-07,1.00E-07,0.087472287,1.00E-07,-5.02E-07,NaN,7.63E-07
335,1.00E-07,0.003132888,1.00E-07,1.00E-07,0.15813329,1.00E-07,1.00E-07,0.000493914,1.00E-07,1.00E-07,0.032658766,1.00E-07,-1.57E-07,NaN,8.73E-07
336,1.00E-07,0.000679874,1.00E-07,1.00E-07,0.185856493,1.00E-07,1.00E-07,0.074509142,1.00E-07,1.00E-07,0.057527316,1.00E-07,-3.41E-07,NaN,0.00000104
337,1.00E-07,0.000524676,1.00E-07,1.00E-07,0.042399106,1.00E-07,1.00E-07,0.029859502,1.00E-07,1.00E-07,0.02432378,1.00E-07,1.20E-07,NaN,7.81E-07
338,1.00E-07,0.002204747,1.00E-07,1.00E-07,0.029779591,1.00E-07,1.00E-07,0.012378592,1.00E-07,1.00E-07,0.001607819,1.00E-07,7.63E-07,NaN,0.0000011
