Wavelength (nm),266910 %T (Unpolarized),,,,,
482,2.58E-01,,,,,
482.5,2.23E+00,,,,,
483,4.20E+00,,,,,
483.5,2.44E+01,,,,,
484,4.47E+01,,,,,
484.5,6.67E+01,,,,,
485,8.88E+01,,,,,
485.5,9.11E+01,,,,,
486,9.35E+01,,,,,
486.5,9.52E+01,,,,,
487,9.69E+01,,,,,
487.5,9.70E+01,,,,,
488,9.72E+01,,,,,
488.5,9.72E+01,,,,,
489,9.71E+01,,,,,
489.5,9.70E+01,,,,,
490,9.68E+01,,,,,
490.5,9.67E+01,,,,,
491,9.66E+01,,,,,
491.5,9.65E+01,,,,,
492,9.63E+01,,,,,
492.5,9.33E+01,,,,,
493,9.04E+01,,,,,
493.5,8.45E+01,,,,,
494,7.86E+01,,,,,
494.5,4.96E+01,,,,,
495,2.05E+01,,,,,
495.5,1.08E+01,,,,,
496,1.05E+00,,,,,
496.5,5.66E-01,,,,,
497,8.48E-02,,,,,
497.5,4.82E-02,,,,,
498,1.16E-02,,,,,
498.5,6.89E-03,,,,,
499,2.16E-03,,,,,
499.5,1.38E-03,,,,,
500,5.97E-04,,,,,
500.5,3.89E-04,,,,,
501,1.81E-04,,,,,
501.5,1.27E-04,,,,,
502,7.34E-05,,,,,
502.5,5.04E-05,,,,,
503,2.73E-05,,,,,
503.5,2.01E-05,,,,,
504,1.30E-05,,,,,
504.5,1.35E-05,,,,,
505,1.40E-05,,,,,
505.5,5.90E-06,,,,,
506,-2.19E-06,,,,,
506.5,1.91E-06,,,,,
507,6.01E-06,,,,,
507.5,4.08E-06,,,,,
508,2.15E-06,,,,,
508.5,9.21E-06,,,,,
509,1.63E-05,,,,,
509.5,1.84E-05,,,,,
510,2.05E-05,,,,,
510.5,1.49E-05,,,,,
511,9.37E-06,,,,,
511.5,8.25E-06,,,,,
512,7.13E-06,,,,,
512.5,8.89E-06,,,,,
513,1.07E-05,,,,,
513.5,1.25E-05,,,,,
514,1.43E-05,,,,,
514.5,3.65E-06,,,,,
515,-7.01E-06,,,,,
515.5,4.48E-06,,,,,
516,1.60E-05,,,,,
516.5,8.84E-06,,,,,
517,1.71E-06,,,,,
517.5,9.41E-06,,,,,
518,1.71E-05,,,,,
518.5,1.38E-05,,,,,
519,1.05E-05,,,,,
519.5,7.04E-06,,,,,
520,3.53E-06,,,,,
520.5,1.15E-05,,,,,
521,1.95E-05,,,,,
521.5,2.13E-05,,,,,
522,2.31E-05,,,,,
522.5,1.79E-05,,,,,
523,1.28E-05,,,,,
523.5,6.25E-06,,,,,
524,-2.85E-07,,,,,
524.5,2.78E-06,,,,,
525,5.84E-06,,,,,
525.5,7.60E-06,,,,,
526,9.36E-06,,,,,
526.5,5.30E-06,,,,,
527,1.24E-06,,,,,
527.5,4.83E-06,,,,,
528,8.42E-06,,,,,
528.5,9.43E-06,,,,,
529,1.04E-05,,,,,
529.5,1.05E-05,,,,,
530,1.05E-05,,,,,
530.5,1.14E-05,,,,,
531,1.24E-05,,,,,
531.5,2.94E-06,,,,,
532,-6.47E-06,,,,,
532.5,1.15E-07,,,,,
