Wavelength (nm),iXon 897 EMCCD (Andor),ZYLA-4.2P sCMOS (Andor),Sona-2BV11 sCMOS (Andor)
1029,0.059520154,0,0
1030,0.057861286,0,0
1031,0.056412088,0,0
1032,0.054962889,0,0
1033,0.053513691,0,0
1034,0.052064493,0,0
1035,0.050615294,0,0
1036,0.049166096,0,0
1037,0.047716897,0,0
1038,0.046267699,0,0
1039,0.0448185,0,0
1040,0.043369302,0,0
1041,0.04212545,0,0
1042,0.040881598,0,0
1043,0.039637746,0,0
1044,0.038393894,0,0
1045,0.037150042,0,0
1046,0.03590619,0,0
1047,0.034662338,0,0
1048,0.033418486,0,0
1049,0.032174634,0,0
1050,0.030930782,0,0
1051,0.029894154,0,0
1052,0.028857527,0,0
1053,0.027820899,0,0
1054,0.026784272,0,0
1055,0.025747644,0,0
1056,0.024711017,0,0
1057,0.023674389,0,0
1058,0.022637762,0,0
1059,0.021601134,0,0
1060,0.020564507,0,0
1061,0.019736908,0,0
1062,0.018909309,0,0
1063,0.01808171,0,0
1064,0.017254112,0,0
1065,0.016426513,0,0
1066,0.015598914,0,0
1067,0.014771315,0,0
1068,0.013943717,0,0
1069,0.013116118,0,0
1070,0.012288519,0,0
1071,0.011662609,0,0
1072,0.011036699,0,0
1073,0.010410789,0,0
1074,0.009784879,0,0
1075,0.009158969,0,0
1076,0.008533059,0,0
1077,0.007907149,0,0
1078,0.007281239,0,0
1079,0.006655329,0,0
1080,0.006029419,0,0
1081,0.00560024,0,0
1082,0.005171062,0,0
1083,0.004741884,0,0
1084,0.004312706,0,0
1085,0.003883528,0,0
1086,0.003454349,0,0
1087,0.003025171,0,0
1088,0.002595993,0,0
1089,0.002166815,0,0
1090,0.001737637,0,0
1091,0.001623135,0,0
1092,0.001508632,0,0
1093,0.00139413,0,0
1094,0.001279628,0,0
1095,0.001165126,0,0
1096,0.001050624,0,0
1097,0.000936122,0,0
1098,0.00082162,0,0
1099,0.000707118,0,0
1100,0.000592615,0,0
