Wavelength (nm),Andor EMCCD
820,0.659001234
821,0.656089912
822,0.65317859
823,0.650267268
824,0.647355946
825,0.644444624
826,0.641533303
827,0.638621981
828,0.635710659
829,0.632799337
830,0.629888015
831,0.626886311
832,0.623884606
833,0.620882902
834,0.617881198
835,0.614879494
836,0.611877789
837,0.608876085
838,0.605874381
839,0.602872676
840,0.599870972
841,0.596742001
842,0.593613029
843,0.590484058
844,0.587355087
845,0.584226115
846,0.581097144
847,0.577968173
848,0.574839201
849,0.57171023
850,0.568581259
851,0.565369269
852,0.56215728
853,0.558945291
854,0.555733302
855,0.552521313
856,0.549309323
857,0.546097334
858,0.542885345
859,0.539673356
860,0.536461367
861,0.533165153
862,0.529868939
863,0.526572725
864,0.523276511
865,0.519980297
866,0.516684083
867,0.513387869
868,0.510091655
869,0.506795441
870,0.503499227
871,0.500179644
872,0.496860062
873,0.493540479
874,0.490220897
875,0.486901315
876,0.483581732
877,0.48026215
878,0.476942567
879,0.473622985
880,0.470303403
881,0.466979516
882,0.463655629
883,0.460331743
884,0.457007856
885,0.453683969
886,0.450360083
887,0.447036196
888,0.44371231
889,0.440388423
890,0.437064536
891,0.433719135
892,0.430373733
893,0.427028332
894,0.42368293
895,0.420337528
896,0.416992127
897,0.413646725
898,0.410301324
899,0.406955922
900,0.403610521
901,0.400282946
902,0.39695537
903,0.393627795
904,0.39030022
905,0.386972645
906,0.38364507
907,0.380317495
908,0.37698992
909,0.373662345
910,0.37033477
911,0.367034252
912,0.363733733
913,0.360433215
914,0.357132697
915,0.353832179
916,0.350531661
917,0.347231142
918,0.343930624
919,0.340630106
920,0.337329588
921,0.334108387
922,0.330887185
923,0.327665984
924,0.324444783
925,0.321223582
926,0.318002381
927,0.31478118
928,0.311559979
929,0.308338778
930,0.305117577
931,0.301994129
932,0.298870681
933,0.295747233
934,0.292623785
935,0.289500337
936,0.286376889
937,0.283253441
938,0.280129994
939,0.277006546
940,0.273883098
941,0.270850648
942,0.267818199
943,0.264785749
944,0.261753299
945,0.25872085
946,0.2556884
947,0.25265595
948,0.249623501
949,0.246591051
950,0.243558602
951,0.240647902
952,0.237737202
953,0.234826502
954,0.231915802
955,0.229005102
956,0.226094402
957,0.223183702
958,0.220273002
959,0.217362302
960,0.214451602
961,0.21167493
962,0.208898259
963,0.206121587
964,0.203344915
965,0.200568243
966,0.197791572
967,0.1950149
968,0.192238228
969,0.189461556
970,0.186684884
971,0.184076071
972,0.181467258
973,0.178858444
974,0.176249631
975,0.173640818
976,0.171032004
977,0.168423191
978,0.165814378
979,0.163205564
980,0.160596751
981,0.158164404
982,0.155732058
983,0.153299712
984,0.150867365
985,0.148435019
986,0.146002672
987,0.143570326
988,0.141137979
989,0.138705633
990,0.136273286
991,0.134017394
992,0.131761503
993,0.129505611
994,0.127249719
995,0.124993827
996,0.122737935
997,0.120482043
998,0.118226151
999,0.115970259
1000,0.113714367
1001,0.111651544
1002,0.10958872
1003,0.107525896
1004,0.105463072
1005,0.103400248
1006,0.101337424
1007,0.0992746
1008,0.097211776
1009,0.095148953
1010,0.093086129
1011,0.091222512
1012,0.089358895
1013,0.087495279
1014,0.085631662
1015,0.083768045
1016,0.081904429
1017,0.080040812
1018,0.078177195
1019,0.076313579
1020,0.074449962
1021,0.072791094
1022,0.071132227
1023,0.069473359
1024,0.067814492
1025,0.066155624
1026,0.064496757
1027,0.062837889
1028,0.061179021
1029,0.059520154
1030,0.057861286
1031,0.056412088
1032,0.054962889
1033,0.053513691
1034,0.052064493
1035,0.050615294
1036,0.049166096
1037,0.047716897
1038,0.046267699
1039,0.0448185
1040,0.043369302
1041,0.04212545
1042,0.040881598
1043,0.039637746
1044,0.038393894
1045,0.037150042
1046,0.03590619
1047,0.034662338
1048,0.033418486
1049,0.032174634
1050,0.030930782
1051,0.029894154
1052,0.028857527
1053,0.027820899
1054,0.026784272
1055,0.025747644
1056,0.024711017
1057,0.023674389
1058,0.022637762
1059,0.021601134
1060,0.020564507
1061,0.019736908
1062,0.018909309
1063,0.01808171
1064,0.017254112
1065,0.016426513
1066,0.015598914
1067,0.014771315
1068,0.013943717
1069,0.013116118
1070,0.012288519
1071,0.011662609
1072,0.011036699
1073,0.010410789
1074,0.009784879
1075,0.009158969
1076,0.008533059
1077,0.007907149
1078,0.007281239
1079,0.006655329
1080,0.006029419
1081,0.00560024
1082,0.005171062
1083,0.004741884
1084,0.004312706
1085,0.003883528
1086,0.003454349
1087,0.003025171
1088,0.002595993
1089,0.002166815
1090,0.001737637
1091,0.001623135
1092,0.001508632
1093,0.00139413
1094,0.001279628
1095,0.001165126
1096,0.001050624
1097,0.000936122
1098,0.00082162
1099,0.000707118
1100,0.000592615
